mvp_hfr_id,official_hfr_id,hospital_name,source_record_id,address,latitude,longitude,source
HFR_MOCK_000029,,Vijaya Nursing Home,33,"Navodaya Colony, Navodaya Colony, Anantpur, Anantapur, Andhra Pradesh - 515001",14.6607456,77.6085681,data.gov.in
HFR_MOCK_000030,,Mamatha Nursing Home,35,"12-2-865, 1St Cross, Sai Nagar, Anantapur, Andhra Pradesh - 515004",13.0433764,80.1622367,data.gov.in
HFR_MOCK_000031,,Anantapuram Praja Vaidyasala,36,"28-639-1, Behind Sangamesh Funtion Hall, 28-639-1, Behind Sangamesh Funtion Hall, Anantapur, Andhra Pradesh - 515005",14.6735546,77.6081894,data.gov.in
HFR_MOCK_000032,,Balaji Nursing Home,37,"M.F. Road, M.F. Road,., Anantapur, Andhra Pradesh - 515201",14.6818877,77.6005911,data.gov.in
HFR_MOCK_000033,,Dr B V Syamala Ratnam Hospiatal,38,"Opposite R.T.C Bus Stand, Hindupur (Po), Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur, Andhra Pradesh - 515201",14.6818877,77.6005911,data.gov.in
HFR_MOCK_000034,,Girish Multispeciality Hospital,39,"#18-1-167, M F Road, Hindupur, Anantapur, Andhra Pradesh - 515201",14.178135,77.2728241,data.gov.in
HFR_MOCK_000035,,Shilpa Hospital,40,"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201, Anantapur, Andhra Pradesh - 515201",13.8358978,77.5046101,data.gov.in
HFR_MOCK_000036,,Sreenivasa Nursing Home,41,"Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur, Anantapur, Andhra Pradesh - 515201",13.8185378,77.4988753,data.gov.in
HFR_MOCK_000037,,Teja Nursing Home,42,"R.P And G.T Road Hindupur, R.P and G.T Road Hindupur--515201, Anantapur, Andhra Pradesh - 515201",13.8371751,77.4878898,data.gov.in
HFR_MOCK_000038,,Sharada Nursing Home and Falvia P Reddy Diagnostic,43,"1/531A-3, East Palem, C B Road, Tadaptri, Anantapur, Andhra Pradesh - 515411",14.910003,78.0005407,data.gov.in
HFR_MOCK_000039,,Sri Kanchani Hospital,44,"C.B Road, Tadpatri, Anantapur, Andhra Pradesh - 515411",14.9070274,78.0092703,data.gov.in
HFR_MOCK_000040,,Devi Nursing Home,47,"Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur (), Andhra Pradesh - 515671",14.4137447,77.7126189,data.gov.in
HFR_MOCK_000041,,Spandana Hospital,48,"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram, Anantapur, Andhra Pradesh - 515671",14.4068919,77.7125679,data.gov.in
HFR_MOCK_000042,,Preethi Nursing Home,49,"Thilak Nagar, Guntakal, Anantapur, Andhra Pradesh - 515801",15.1622611,77.3826845,data.gov.in
HFR_MOCK_000043,,Dr. Ramalakshmi Nursing Home,52,"No.17-433, Lakshmi Complex, Sundarayyar Street, No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,, Andhra Pradesh - 517001",13.217176,79.1003289,data.gov.in
HFR_MOCK_000044,,Dr. V. K. R. Nursing Home and Scan Centre,53,"No. 20-142/1, Near Raghava Theatre, Naidu Building, No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor, Andhra Pradesh - 517001",13.217176,79.1003289,data.gov.in
HFR_MOCK_000045,,Lakshmi Hospital,54,"D.No:17-284,,T.V.Naidu St, D.No:17-284,T.V.Naidu St,., Chittoor, Andhra Pradesh - 517001",28.6481837,77.3709431,data.gov.in
HFR_MOCK_000046,,Sreelatha Modern Eye Hospital And Research Centre,57,"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office, 2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor, Andhra Pradesh - 517001",13.217176,79.1003289,data.gov.in
HFR_MOCK_000047,,Sujatha Nursing Home,58,"#2-1090, Padmavathi Nagar, Piler, 2-1090, Padmavathi Nagar, Piler, Chittoor, Andhra Pradesh - 517001",13.65,78.933333,data.gov.in
