position_group,latitude,longitude,hospital_count,hospitals,states,districts
"30.899, 75.846",30.8993149,75.8455906,1,Minakshi Jain Hospital,Haryana,Jind
"30.899, 77.019",30.8994362,77.0190228,1,Community Health Centre,Himachal Pradesh,Solan
"30.904, 77.029",30.9044814,77.0291904,1,C H C Dharampur,Himachal Pradesh,Solan
"30.904, 77.097",30.9044857,77.0967357,1,Regional Hospital,Himachal Pradesh,Solan
"30.908, 77.109",30.9081066,77.1093549,1,Malan Nursing Home,Himachal Pradesh,Solan
"30.918, 75.835",30.9184526,75.8348296,1,Raza Nursing Home,Bihar,Purnia
"30.948, 76.807",30.9478551,76.8067641,1,N P S Hospital,Himachal Pradesh,Solan
"30.95, 74.615",30.9504406,74.6151551,1,Rainbow Children Hospital,Haryana,Panipat
"30.967, 77.112",30.9669269,77.1116156,1,Suyash Hospital and Maternity Home,Maharashtra,Solapur
"30.968, 77.192",30.9676214,77.1916497,1,Civil Hospital,Himachal Pradesh,Solan
"30.995, 78.94",30.9946945,78.9398402,1,Gayatri Hospital,Chhattisgarh,Raipur
"31.016, 73.852",31.0157458,73.8521521,1,Jagriti Medical Centre,Himachal Pradesh,Mandi
"31.024, 77.192",31.0240057,77.1916497,1,Civil Hospital,Himachal Pradesh,Shimla
"31.034, 75.467",31.0344474,75.4673654,1,Chawala Medical Centre And Nursing Home,Himachal Pradesh,Una
"31.036, 76.71",31.0356057,76.7098511,1,Ravi Medical Centre,Himachal Pradesh,Solan
"31.038, 76.712",31.0381011,76.7118672,1,J N Shori Multi Speciality Hospital,Haryana,Panchkula
"31.068, 77.18",31.0679382,77.180149,1,Aastha Hospital,Himachal Pradesh,Shimla
"31.08, 76.961",31.0795387,76.9614255,1,Primary Health Centre,Himachal Pradesh,Solan
"31.087, 77.18",31.0869735,77.1801916,1,Regional Ayurvedic Hospital,Himachal Pradesh,Shimla
"31.09, 77.171",31.0902089,77.1709387,1,"Neuro Centre, Shimla",Himachal Pradesh,Shimla
"31.093, 77.177",31.0927056,77.1773458,1,KNH Shimla,Himachal Pradesh,Shimla
"31.103, 77.176",31.103468,77.1757122,1,Vidya Clinic,Himachal Pradesh,Shimla
"31.104, 77.193",31.1038132,77.1929875,1,Nirmal Clinical,Himachal Pradesh,Shimla
"31.105, 77.174",31.1047025,77.1739595,1,"Dr.Suman Heart Centre, The Ridge Shimla",Himachal Pradesh,Shimla
"31.105, 77.192",31.1050849,77.1923685,1,JNS Eye Care Centre,Himachal Pradesh,Shimla
"31.106, 77.176",31.1060016,77.1761511,1,Chaudhry Heart and Maternity Center,Haryana,Bhiwani
"31.106, 77.177",31.1063761,77.1769144,1,Igmc (Only H P Critical Care Policy),Himachal Pradesh,Shimla
"31.107, 77.182",31.1065156,77.1816614,1,Gastroentrology Endoscopy Centre,Himachal Pradesh,Shimla
"31.117, 77.536",31.1167553,77.5358739,1,C H C Kothkhai,Himachal Pradesh,Shimla
"31.126, 77.352",31.1260995,77.3524522,1,Civil Hospital,Himachal Pradesh,Shimla
"31.217, 75.777",31.2166598,75.7772058,1,Meera Devi Nursing Home,Haryana,Faridabad
"31.234, 76.938",31.2338347,76.9376743,1,"P H C, Darlaghat",Himachal Pradesh,Solan
"31.237, 76.935",31.2372527,76.9354979,1,Primary Health Centre,Himachal Pradesh,Solan
"31.237, 77.874",31.2373257,77.8738864,1,Community Health Centre,Himachal Pradesh,Shimla
"31.237, 77.878",31.2370821,77.8776813,1,C H C Chirgaon,Himachal Pradesh,Shimla
"31.24, 77.122",31.2398278,77.1218803,1,C H C Suni,Himachal Pradesh,Shimla
"31.242, 77.122",31.2422245,77.1221405,1,Community Health Centre,Himachal Pradesh,Shimla
"31.26, 76.981",31.2600801,76.9812887,1,"P H C, Chandi",Himachal Pradesh,Solan
"31.302, 75.576",31.301887,75.57624,1,Pathania Dental Clinic,Himachal Pradesh,Kangra
"31.306, 76.536",31.3064166,76.5358173,1,Community Health Centre,Himachal Pradesh,Bilaspur
"31.308, 76.541",31.3084095,76.5406706,1,C H C Naina Devi,Himachal Pradesh,Bilaspur
"31.309, 77.583",31.3092877,77.5834339,1,C H C Nankhari,Himachal Pradesh,Shimla
"31.339, 75.576",31.3386207,75.5764747,1,Dn Sharma Hospital Pvt Ltd,Haryana,Sonipat
"31.359, 76.747",31.3594562,76.7472294,1,Vyas Hospital,Himachal Pradesh,Bilaspur
"31.381, 77.205",31.3813366,77.2045867,1,Civil Hospital,Himachal Pradesh,Mandi
"31.386, 77.433",31.3859048,77.4329048,1,Community Health Centre,Himachal Pradesh,Kullu
"31.393, 73.085",31.3929171,73.0853019,1,Bristlecone Hospital,Andhra Pradesh,Hyderabad
"31.422, 76.232",31.422338,76.2319793,1,Community Health Centre,Himachal Pradesh,Una
"31.439, 74.292",31.4388107,74.2919165,1,Ashwini Nursing Home,Karnataka,Davangere
"31.461, 77.673",31.4613721,77.6734765,1,Mahatama Gandhi Medical College,Himachal Pradesh,Shimla
"31.466, 76.266",31.4655589,76.2658077,1,Vinayak Eye Hospital,Himachal Pradesh,Mandi
"31.481, 76.273",31.4809485,76.2731142,1,Nanda Hospital,Himachal Pradesh,Una
"31.486, 74.326",31.485722,74.3264869,1,Singla Dental And Facial Trauma Centre,Haryana,Hisar
"31.498, 76.756",31.4981518,76.7563347,1,Community Health Centre,Himachal Pradesh,Bilaspur
"31.526, 76.461",31.5255129,76.4606468,1,Community Health Centre,Himachal Pradesh,Hamirpur
"31.533, 76.892",31.5332397,76.8922729,1,Bbmb Hospital,Himachal Pradesh,Mandi
"31.56, 74.301",31.5598318,74.3012121,1,City Heart Hospital,Assam,Kamrup
"31.564, 74.385",31.5644469,74.3846627,1,Anand Hospital And Research Centre,Bihar,Rohtas
"31.569, 74.38",31.5692047,74.3797556,1,"CGHS Dispensary No.I, Charmina",Andhra Pradesh,Hyderabad
"31.601, 76.908",31.6007676,76.9081238,1,Primary Health Centre,Himachal Pradesh,Mandi
"31.609, 76.915",31.6085219,76.9153281,1,Banga Associated Hospital (Eye Hospital),Himachal Pradesh,Mandi
"31.614, 76.358",31.613824,76.3579401,1,Community Health Centre,Himachal Pradesh,Una
"31.632, 76.833",31.6321926,76.8331743,1,Primary Health Centre,Himachal Pradesh,Mandi
"31.646, 76.75",31.6458317,76.7495233,1,"PHC, Gopalpur",Himachal Pradesh,Mandi
"31.651, 76.944",31.6507399,76.944141,1,Sri Harihar Hospital and Research Centre,Himachal Pradesh,Mandi
"31.662, 76.059",31.6622025,76.0594972,1,Community Health Centre,Himachal Pradesh,Una
"31.681, 76.621",31.6807826,76.6205621,1,Parvati Charitable Hospital,Himachal Pradesh,Hamirpur
"31.685, 76.516",31.6853708,76.5155834,1,Community Health Centre,Himachal Pradesh,Hamirpur
"31.709, 76.928",31.7086338,76.9275225,1,Sanjeevan Hospital,Himachal Pradesh,Mandi
"31.71, 76.932",31.7104853,76.9320314,1,"H.S.Malhotra Clinic, Mandi",Himachal Pradesh,Mandi
"31.71, 76.933",31.7101213,76.9325094,1,Kailash Clinic  Mandi,Himachal Pradesh,Mandi
"31.714, 76.597",31.7143781,76.5972223,1,Civil Hospital,Himachal Pradesh,Hamirpur
"31.716, 73.376",31.716463,73.3755022,1,Sri Lakshmi Hospital,Andhra Pradesh,West Godavari
"31.75, 76.077",31.7504338,76.0769825,1,Primary Health Centre,Himachal Pradesh,Una
"31.757, 76.873",31.7574335,76.8728167,1,Primary Health Centre,Himachal Pradesh,Mandi
"31.761, 76.41",31.7612361,76.4103088,1,Regional Hospital,Himachal Pradesh,Hamirpur
"31.775, 75.999",31.7747487,75.9985446,1,Community Health Centre,Himachal Pradesh,Una
"31.779, 76.344",31.7785034,76.3444587,1,Community Health Centre,Himachal Pradesh,Hamirpur
"31.782, 76.636",31.7823639,76.6358719,1,Ayurvedic Hospital,Himachal Pradesh,Hamirpur
"31.803, 76.76",31.8029903,76.7603434,1,Primary Health Centre,Himachal Pradesh,Mandi
"31.875, 76.32",31.8752372,76.3203091,1,Community Health Centre,Himachal Pradesh,Kangra
"31.876, 76.31",31.8760295,76.3102478,1,C H C Jawalamukhi,Himachal Pradesh,Kangra
"31.897, 77.149",31.8965223,77.1492354,1,Sri Harihar Hospital,Himachal Pradesh,Kullu
"31.903, 76.111",31.9027974,76.1112416,1,C H C Dadasiba,Himachal Pradesh,Kangra
"31.937, 76.647",31.9367308,76.6472232,1,C H C Chadhiar,Himachal Pradesh,Kangra
"31.948, 77.113",31.9476769,77.1129677,1,Aruya Aspatal,Himachal Pradesh,Kullu
"31.954, 77.112",31.9544689,77.1118326,1,Beas Hospital,Himachal Pradesh,Kullu
"31.956, 77.111",31.9560442,77.1112605,1,"Kullu Valley Hospital, Kullu",Himachal Pradesh,Kullu
"32.0, 77.248",31.9995469,77.2476997,1,Civil Hospital,Himachal Pradesh,Kullu
"32.038, 76.513",32.0378117,76.5132979,1,C H C Bhawarna,Himachal Pradesh,Kangra
"32.04, 76.5",32.0397936,76.4996831,1,Community Health Centre,Himachal Pradesh,Kangra
