position_group,latitude,longitude,hospital_count,hospitals,states,districts
"19.076, 72.878",19.0759837,72.8776559,68,Kakraniya Hospital | Dr. Ramesh Chaudhari | Prathana Hospital | Sai Hospital | Uday Pathak Hospital | Bay View Clinic | Dr. Rajesh D Mody - V.P.Road | Hematology Laboratory | V.A.D.T Nursing Home | Dr Turners S Speciality Dental Centre,Maharashtra,Amravati | Mumbai | Nashik | Thane
"18.52, 73.857",18.5204303,73.85674370000001,61,Pawna Hospital | Ambekar Hospital | Hitech Urology Institute(Dr.Kanitkar) | Moolanis Eye Care Centre | Nm Wadia Institute Of Cardiology | PHC Taregaon | Poona Center For Womens Health | Vinay Clinic | Bora Hospital | Ameya Clinic,Maharashtra,Pune | Solapur
"22.72, 75.858",22.7195687,75.8577258,60,"Aastha Hospital | Advanced Eye Care And Research Center Pvt. Ltd | Apoorva Nursing Home,Indore | Bhagwati Nursing Home | Care Medical Investigation | Chl-Cbcc Cancer Center | Christian Hospital | Crystal Lithotripsy and Urology Centre | Dashore Ortho+ Physio Clinic | Dr.Satish Gupta Hospital",Madhya Pradesh,Indore | Shahdol
"22.304, 70.802",22.303894500000002,70.8021599,46,"Centre For Sight, Rajkot | Ayush Hospital | Darshan Eye Hospital | Dr. Mody Hospital | Dr. Nirbhay Shah Joint Replacement Fellow | Dr. Swami I.P | Gaurav Accident - Fracture Hospital andResearch Inst | Gokul Hospital And Trauma Centre | Jain Hospital | Kalindi Hospital",Gujarat,Rajkot
"24.174, 72.433",24.174051,72.4330989,36,"Aarti Hospital and Maternity Home | Aastha Ortho and Fracture Hospital | Aastha Orthopaedic Hospital | Abha Eyes Hospital | Aman Phaco Surgery | Ashirwad Hospital,Banaskantha | Astha Orthopaedic and Fracturehospital | Avm Surgical Hospital | Bavishi Hospital | Civil Hospital",Gujarat,Banas kantha
"17.66, 75.906",17.6599188,75.9063906,34,Accident and Maternity Hospital | Bashweshwar Hospital | Bharti Hospital | Dr Valsangkar Hospital | Dr.A.K.Kelkar | Gayatri Hospital | Jayram Ent Hospital | Lokmangal Medical Foundation and Research Centre | Panchsheel Maternity Home | S P Institute Of Neurosciences,Maharashtra,Solapur
"8.524, 76.937",8.5241391,76.9366376,33,Attikal Devi Institute Of Medical Sciences Ltd | Government Taliparamba Hospital | Gowreesha Hospital | Regional Institute Of Ophthalmology | Government Ayurveda College Hospital Thiruvanantha | Sree Uthradom Thirunal Hospital - Thiruvananthapuram | Blessing Hospital | Dr Govindans Hospital | Kolath Medical Center Pvt Ltd | Bhavani Arogyanikethanam,Kerala,Ernakulam | Thiruvananthapuram
"16.705, 74.243",16.7049873,74.2432527,31,Patki Hospital | Ramkrishna Hospital | Shubham Karoti Hospital | Sanjeevan Hospital and Critical Care Unit | Shree Mahalaxmi Nursing Home | Yasho Dip Orthopadic Centre and Genral Hospital | Gayatri Hospital | Joshi Hospital And Dialysis Centre | Pragati Netra Hospital | Saideep Fracture and Accident Hospital,Maharashtra,Kolhapur | Sangli
"21.146, 79.088",21.1458004,79.0881546,31,Ajit Clinic | Mure Memorial Hospital | Sevanjali Maternity Home | Arihant Surgical And Maternity Hospital | Ganeriwal Hospital | Pathology Laboratory | Ace Womens Hospital | Itkelwar Multispeciality Hospital | Lotus Hospitaland Research Centre and Mat Home | Arneja Heart Institute,Maharashtra,Nagpur
"21.008, 75.563",21.0076578,75.56260390000001,30,"Deore Hospital Chalisgaon | Aarogyam Advanced Surgical Centre | Chinmay Hospital And Critcal Care Centre | Damani Maternity and Surgical Hospital,Jalgaon | Disha Eye Hospital | Godavari Hospital And Sonography Centre | Gokul Hospital | Heramb Netralaya | Jeevan Nursing Home | K.K.Nursing Home",Maharashtra,Jalgaon
"23.26, 77.413",23.2599333,77.412615,30,Bopal Multi Speciality Hospital | Aashna Orthopaedic Hospital | Bopal Eye Care Centre | Vanza Hospital | Krishna Shalby Hospital | Bopal Multispeciality Hospital | Bhopal Care Hospital | Faiz Eye Hospital | Gandhi Medical College and Hamidia Hospital | Gulati Clinic,Gujarat | Madhya Pradesh,Ahmedabad | Bhopal
"19.033, 72.896",19.0327996,72.8963568,29,Aditya Health Care | Diamond Polyclinic and Nursing Home | Disha Polyclinic and Nursing Home | Dr Smita Mukherjees Eye Clinic | Dr. Das Hospital - Chembur (Mumbai) | Dr. Sanjay Sonars Laproscopy and Scopy Centre | Dr. Shubha Rao | Excel Urology Centre | Hegde Hospital Surgical and Maternity Nursing Home | Icon Hospital and Research Centre,Maharashtra,Mumbai
"19.997, 73.79",19.9974533,73.7898023,29,Arihant Hospital | Deepjyoti Hospital | Dr. A. K Pawar Institute Of Obstetrics Gynaecology | Nirantar Jyot'' Laser Eye Center | Supe Hospital | Tulshi Hospital | Vimal Maternity And General Hosp | Vishwesh Childrens Hospital | Ayush Hospital | Birla Super Speciality Eye Hospital,Maharashtra,Nashik
"22.307, 73.181",22.3071588,73.1812187,29,"Amardeep Eye Hospital | Ashwini Medical Centre | Bhagat Hospital | Ankur Children Hospital and Neonatal Nursery | Shree Nandan Eye Hospital | Smt. B.K. Shah Medical Institute and Research Centre, Piparia, Wabghodia | GMERS Medical College and Hospital, Gotri | Dr. Dandekar Eye Clinic And Surgery Centre | Nirali Clinic | Riyal Clinic",Gujarat | Haryana | Maharashtra,Anand | Panchmahal | Surat | Vadodara | Sonipat | Solapur
"23.604, 72.964",23.6036268,72.9639461,28,A V M Orthopaedic Hospital | Aashay Eye Hospital | Aavkar Hospital | Aayush Heart and Medicare Hospital | Bhagyoday Charitable Trust | Chirag Hospital | Civil Hospital | Harsh Surgical Hospital | J K Orthopedic Hospital | Jay Children Hospital,Gujarat,Sabar kantha
"19.136, 72.828",19.1363246,72.82766,27,"Ameya Maternity and Nursing Home | Bellevue Multispeciality Hospital | Benzer Nursing Home, Andheri | Dr. Indus New Born And Child Care Centre | Dr. Jk Shah's Eye Clinic and Laser Centre | Dr. M.I.Doongerwala - Andheri | Dr. Pareeks Deafness Clinic and Ent Hospital - Andheri | Parijat Surgical and General Hospital | Siddhivinayak Surgical Centre | Super Religare Laboratories Ltd",Maharashtra,Mumbai
"19.876, 75.343",19.8761653,75.3433139,27,Haddi and Dental Hospital | Health World | Pulse Women Hospital | Shanker Nursing Home | Swastik Hospital | Amaan Hospital Surgical and Orthopaedics | Ashtvinayak Hospital | Bhartiyua Maternity And Nursing Home | Citicare Superspeciality Hospital | Evangeline Booth Hospital,Bihar | Maharashtra,Aurangabad
"16.307, 80.437",16.3066525,80.4365402,26,Ahalya Nursing Home | Nandanaa's Multi Care Hospital | Padmas Hospital | Purnasai Hospital | Sathvika Hospital | Sri Krishna Institute Of Medical Sciences | Sujatha Laparoscopy and Infertility Centre | Venkata Ramana Eye Hospital | Childrens Hospital | Pratyusha Childrens Hospital,Andhra Pradesh,Guntur
"31.105, 77.173",31.1048145,77.1734033,26,Civil Hospital | Community Health Centre | DDU Hospital | GovernmentDental Collage | Indira Gandhi Medical Collage | Indus Hospital | Bhartiya Chikitsa And Homeopethic Department | Ddu Hospital / Deen Dyal Upadhyay Zonal Hospital | Government Dental College and Hospital | Indira Gandhi Medical College and Hospital,Himachal Pradesh | Maharashtra,Shimla | Thane
"32.1, 76.269",32.0998031,76.2691006,26,"Maple Leaf Hospital | Rama Hospital Nursing and Maternity Home | Shri Balaji Hospital | Civil Hospital | Ayurvedic Hospital, Dehrra | Dr.Rajendra Prasad Government  Medical College | Ayurvedic Hospital | Community Health Centre | Sai Mahima Shukla Hospital | Mela Mal Sood Rotary Eye Hospital",Himachal Pradesh,Kangra
"9.592, 76.522",9.5915668,76.5221531,26,"Thaluk Head Quarters | Women And Children | Institute Of Child Health and Children Hospital | Medical College Hospital | Paret Mar Ivanios Hospital | The Mundakapadam Mandiram Hospital, | Medicare Childrens Hospital | Pampady | S. Joseph Memorial Hospital | Pnp Memorial (Kvms) Hindu Medical Mission",Kerala,Kottayam
"23.023, 72.571",23.022505000000002,72.5713621,25,GMERS Medical College | Abc Dental Clinic andHospital | Asha Orthoscopi Center | Ashray Clinic | Dr. Devendra Kanaiyalal Hosp and Nursing Home | Dr.Santosh C.Raibagkar | M.P Shah Cancer Hospital | Orthopedic and Trauma Centre | Vihar Hospital | Dr Gandhi Orthopaedic Hospital,Gujarat,Ahmedabad
"19.173, 72.943",19.1725542,72.942537,24,Abhinav Kidney Dialysis And Health Centre - Mulund | Aditi Hospital Accident Fracture and Surgical Clinic | Apex Kidney Care (Dialysisnetworks) | Ashwini Hospital and I. C. C. U. | Devkunj Charitablr Trust Matushri Mankbai Nagji Sa | Dr Shettys E N T Hospital | Dr. Khona E N T Hospital | Dr. Simandhars Eye Care Centre | Indira Nursing Home | Mahavir Orthopaedic and General Hospital - Mulund (W),Maharashtra,Mumbai
"16.506, 80.648",16.5061743,80.6480153,23,Yalamanchi Hospitals and Research Centres Pvt Ltd | Chaitra Hospitals Surgical And Maternity | City Cancer Centre | Giridhar Ent Hospital | Help Hospital Pvt Limited | Ishwarya Maternity Hospital | Latha Superspecialities | Life Line Trimurthy Hospital | Meenakshi Eye Hospital | Mother and Child Hospital and Family Hospital,Andhra Pradesh,Krishna
"23.698, 72.538",23.6977038,72.5382293,23,Dhanvidhya Hospital | PHC Kansarakui | PHC Kharavada | PHC Valam | Aakash Eye Hospital | Aesha Hospital | Arni Hospital | Drashti Eye Hospital | Gokul Orthopaedic Hospital | Jivanyog Nursing Home,Gujarat,Mahesana
"14.443, 79.986",14.442598699999998,79.986456,22,Anasuya Institute Medical Sciences | Bhaskar Reddy Hospital | Dr Andals Lakshmi Fertility Research and Laparoscopic Surgical Centre | Dr P Madhusudhana Sastry Hospital | Dr.P.V.Ramchandra Reddys Peoples Polyclinic | Guram Chilren Hospital | Lalitha Hebbar Nursing Home | Latha Matrnity and Children Hospital | Modern Eye Hospital And Research Centre | R K Eye Care Center,Andhra Pradesh,SPSR Nellore
"21.251, 81.63",21.2513844,81.6296413,22,Banthia Hospital | Dr Pants Paediatric Speciality Clinic | Ekta Institute Of Child Health | Ganpati Hospital (Banthia Hospital) | Gupta Dental Clinic | Infectious Disease Hospital | Nigam Ent Hospital | P D Jethani Memorial Hospital and Diagnostic Center | Pragya Hospital | Raipur Hospital,Chhattisgarh,Raipur
"22.962, 76.051",22.9622672,76.0507949,22,"Agrawal Medicare | Chandra Nursing Home | Civil Hospital Kannod | Community Health Centre | Dewas Hospital And Research Centre Pvt Ltd | Gagrani Hospital | Geeta Bhawan Hospital, Sonkatch. | Joseph Hospital | Khare Nursing Home And Maternity Home | Kothari Nursing Home",Madhya Pradesh,Dewas | Ujjain
"23.037, 72.561",23.036556077272728,72.56115284090909,22,Pulse Women's Hospital | Hemato Oncology Clinic Pvt.Ltd. | Asian Institute Of Gastroenterology Surgery | Navneet Memorial Hospital | Maniar Hospital | Anamay Eye Hospital - Ahmedabad | Astha Kidney And Laparoscopy Hospital | Banker`S Retina Clinic and Laser Centre | Dr. Devendra Patel Nursing Home | Dr. Mahendra Naik,Gujarat,Ahmedabad
"23.181, 79.986",23.181467,79.9864071,22,Akshay Maternity And Nursing Home | Chhavi Eye Hospital Ice Phoco And Navex Laser Cent | Dube Surgical And Dental Hospital - Jabalpur | Hussain Eye Hospital and Lesar and Pacho Surgery Cente | Johri Hospital | Narmada Hospital | P.G. Hospital | Seth Govonddas Hospital | Seth Mannulal Jagannathdas Trust | Shubh Labh Hospital,Madhya Pradesh,Jabalpur
"22.692, 72.863",22.691590914285715,72.86333781428573,21,Arpita Hospital and Maternity Home | Ashish Medical Nursing Home | Dr. Dinesh Pandhi's New Hospital | Dr. Janki V. Amin | Dr. Nalini Maternity Home | Dr. Sanghvi Maternity Home | Gopal Children Hospital and Neonatal Care Nursery | Life Support Hospital | Muljibhai Patel Urological Hospital | Omkar Hospital,Gujarat,Kheda
"22.779, 73.614",22.7788044,73.6142795,21,Lara Hospital | Alwani Surgical Hospital | Bhagyoday Surgical Hospital | Bhavsar Surgical Hospital | Dr. Millwala Children Hospital | Fakhri Hospital and Heart Care Centre | Kalpataru Surgical Hospital | Kalrav Children Hospital | Masoom Children Hospital | Medical Nursing Home and Heart Care Centre,Gujarat,Panchmahal
"30.378, 76.777",30.3781788,76.7766974,21,Sharma Eye Center | M K Surgical Hospital | Patnaik Hospital | Baveja Hospital | Choudhry Children Hospital | General Hospital | Goyal Ashok Deep Hospital Cum-Residence | J.C Memorial Chldren Hospital | Kapil Eye Hospital | M.M Hospital,Chandigarh | Haryana,Chandigarh | Ambala | Kaithal
"8.893, 76.614",8.8932118,76.6141396,21,A M Hospital | Mariyanam Hospital | Arafa M M Hospital | Bishop Benziger Hospital | S.N. Trust Medical Mission Hospital | Sree Narayana Trusts Medical Mission | Dr.Viswanathan Memmorial Hospital | Thayabji Hospital | Poyanil Hospital | St. Thomas Hospital,Kerala,Kollam
"15.299, 74.124",15.299326500000001,74.123996,20,Anandi Nursing Home and Maternity Hospital | Savaikar Nursing Home | Usgaonkers Children Hospital and I N I Cu | Bhagyoday Hospital | Dr. Olavo Ribeiro Hospital | Vrundavan Hospital and Research Centre | Borkar Nursing Home | Hospicio Hospital | Kamat Nursing Home | Nusi Wockhardt Hospital Goa,Goa,North Goa | South Goa
"26.647, 84.909",26.6469624,84.9088938,20,Aastha Nursing Home and Maternity Centre | Amar Clinic And Diabetic Care Centre | Banarsidas Chandiwala Eye Hospital | Chandana Surgicare | Jeevan Deep Nursing Home | M.J. Heart Hospital | Maa Nursing Home | Maa Seva Sadan and Prasuti Kendra | Madhuri Nursing Home | Motihari Medical Center,Bihar,East Champaran | West Champaran
"17.385, 78.487",17.385044,78.486671,19,"Kamineni Hospital | Nizams Institute of Medical Sciences (NIMS) | CGHS Dispensary No.IV,\nBegumpet | CGHS Dispensary No.XII,\nTamaka | PC-I, KS Bhawan | PC-II, AGS Office Bldg. | PC Hyderabad | Yashoda Super Speciality Hospital | Lotus Children's Hospital, Lakdikapul | Udai Omni Hospital",Andhra Pradesh | Maharashtra,Hyderabad | Raigarh
"18.63, 73.8",18.6297811,73.7997094,19,Ashwini Hospital | Anjali Hospital | Devadhar Nursing Home | Eyelight Laser and Eye Care Pvt Ltd | Dr Patil Ent Hospital | Padam.Dr.D.Y.Patil Hospital and Research Centre | Dhanashree Hospital | Harsh Eye Clinic | Unique Childrens Hospital | Ashwin Medical Foundations Moraya Hospital,Maharashtra,Pune
"19.08, 72.907",19.0796375,72.9070116,19,Doshi Nursing Home | Advanced Orthopaedic and Super Speciality Center | Ami Drashti Eye Care Centre | Asha Polyclinic and Sheetal Nursing Home | Dewang Nursing Home Pvt. Ltd. | Dr Walavalkars Nursing Home | Dr. Prakash Doshis Fracture and Orthopaedic Nursing Home - Ghatkopar | Dr. Walawalkars Nursing Home | Excel Ent Hospital | Hiren Mehta Eye Care Centre,Maharashtra,Mumbai
"19.151, 72.932",19.1509879,72.9315251,19,Saarthi Hospital | Amruta Maternity and Surgical Nursing Home | Dr Bothra's Hospital | Dr Patanis Eye Clinic | Dr. Kolhes Eye Clinic - Bhandup | Dr. Malwankar's Romeen Nursing Home | Dr.Bothras Hospital | Gaurav Maternity and Surgical Hospital | Maauli Hospital | Madhu Polyclinic and Nursing Home,Maharashtra,Mumbai
"20.904, 74.775",20.9042201,74.7748979,19,Akshyadeep Hospital | Bafna Hospital | Dr.B.D.Ahirrao Hospital | Life Surgical and Materity Home | Mahale Accident Hospital | Matruseva Hospital | Mutha Accident Hospital | Plastic Surgery And Burns Hospital | Ram Surgical Hospital | Samarth Hospital and Cancer Clinic,Maharashtra,Dhule | Pune
"22.996, 72.6",22.9961698,72.5995843,19,Krishna Siddhi Vinayak Heart Centre | Aastha Hospital | Abhishek Hospital and Heart Centre | Ahmedabad Medical Centre | Dr Dave Subhash Gajanan Nursing Home | Dr Sunil Shah's Eye Hospital | Dr. Abhay K Shah Children | Dr. Paresh Bhatt | Kamal Hospital | Kothari Onco Surgical Hospital,Gujarat,Ahmedabad
"25.594, 85.138",25.5940947,85.1375645,19,Kurji Holy Family Hospital | Cns Sanjeevani Centre For Neurosurgery Pvt Ltd | R.M.Hospital and Research Centre | Bilas Netralaya | Buddha Nursing Home | Patna Medical Collage and Hospital | Apex Hospital | Sanjivani Nursing Home | R.P. Golwara Memorial Hospital | Dr. Subhas Chandra Chaudhary Clinic,Bihar,Patna | Nalanda
"12.914, 74.856",12.9141417,74.8559568,18,Bhats Clinic and Day Care Centre | Government Wenlock District Hospital | Jayashree Nursing Home | Sahara Hospital | Ullal Gen Hospital andKariram Memeoral Hospital | Wenlock District Hospital | Minsa Hospital | Sanjeevini Day Care | Scs Hospital | Vasan Eye Care Hospital,Karnataka,Dakshina Kannada | Udupi
"23.344, 85.31",23.3440997,85.309562,18,Netradham | S D A Mission Hospital | Aayushman Nursing Home | Chootanagpur Nursing Home | Eye Care Centre | Kumar Nursing Home | Matri Prerna Eye Hospital | Nagarmal Modi Seve Sadan | Raj Hospital And Research Centre | Rama Nursing Home,Jharkhand,Lohardaga | Ranchi | Khunti | khunti
"19.091, 72.908",19.0908063,72.9076669,17,Sagar Nursing Home and Icu | Vivek Maternity And Nursing Home | Adarsh General and Maternity Nursing Home- Ghatkopar | Advanced Ent Center | Amar Jyot Eye Care Centre | Divya Rekha Eye Hospital | Dr Sonagra Medical And Surgical Centre | Dr Sules Vaibhav Polyclinic and Siddharth Nursing Home | Dr. Savlas Polyclinic And Nursing Home - Mumbai | Dr. Vinod B Joshi Maternity Nursing Home,Maharashtra,Mumbai
"20.706, 77.022",20.7059345,77.0219019,17,Chandak Urology Clinic And Meternity Home | Devki Nursing Home and Critical Care Centre | Dr.Malokar Hospital | Gupta Hospital - Akola | New Cotton City Critical Care Center | Rathi Children Hospital | Shri Narayan Hospital | Shri Ram Hospital | Siddhivinayak Orthopedic and Maternity Hospital | Sonawne Orthopadic and Truma Centre,Maharashtra,Akola | Jalna
"22.08, 82.139",22.0796251,82.1391412,17,Chhattisgarh Institute of Medical Sciences | Ashok Prasuti Mandir | Jan Swasthaya Sahyog | Kims Super Speciality Hospital | Mehta Children Nursing Home | Mittal Hospital | P.T.M.D. Mishra Memorial Nursing Home and Research | Verma Nursing Home | F R U Sanetorium | Late Banshidhan Mukim Smriti Shalya Chikitsa Kendra,Chhattisgarh | Himachal Pradesh,Bilaspur
"29.534, 75.018",29.5335931,75.0177029,17,Apex Hospital and Research Center - Rsby | Bansal Nursing Home - Rsby | Bikaner Nursing Home - Rsby | Bishnoi Nursing Home | Dayal Hospital | Garg Children Hospital - Rsby | Jagdish Nursing Home And Heart Care Center | Khurane Child Health Care and Neonatology Center / Khurana Bal Avam Navjat Shishu Rog Upchar Kendra / Khurana Nursing Home | New City Hospital | Santosh Hospital and Maternity Home,Haryana,Sirsa
"19.061, 72.836",19.0606917,72.8362497,16,Ceds The Cneter Of Eye Dianostics And Surgery | Dr Mukul Dabholkar Bandra | Dr. Pattnaiks Nursing Home | Dr. R. N. Shetty's Nursing Home | Dr.Mira Raisinghaney Maternity and Surgical Nursing | Empire Centre | Kiddie Ville Clinic | Lilavati Hospital And Research Centre | Mumbai Cancer Clinic | Neisa Laser Centre,Maharashtra,Mumbai
"20.599, 72.934",20.5992349,72.9342451,16,Dr Mahaskar Genral Hospital | Dr Pandyas Eye Hospital Nadiad | Kasturba Vaidyakiya Rahat Mandal | Maitri Surgical Hospital | Medicare Hospital | Mufti Dental Hospital | Navjeevan Hospital | Roy Nursing Home andIccu | Ashray Hospital | Dharampur State Hospital,Gujarat,Valsad
"20.937, 77.78",20.9374238,77.7795513,16,Agrawal Maternity and Nursing Home | Annapurna Hospital | Astha Maternity and Surgical Hospital | Deshmukh Maternity and Childrens Hospital | Kusumanjali Hospital | Sankalp Chaudhari Maternity Hopsital and Dialysis Ce | Shiv Lahari Hospital | Suyash Hospital | Dr. Sudha Deshmukh Hospitgal For Women | Khatri Hospital,Maharashtra,Amravati
"12.51, 74.985",12.5102239,74.9851678,15,Carewell Hospital And Research Centre | Kamath Medical Center | Mallya City Hospital | United Hospital And Research Center | Arimala Hospital | Care and Cure Hospital | Cims Hospital | Manzoor Hospital | Padma Polyclinic | Priyadarshini Hospital and Deepa Nursing Home,Kerala,Kasaragod
"17.276, 74.2",17.2759841,74.2003231,15,Rajyog Hospital | Gaikwad Hospital | Mohite Hospital | Shriram Hospital | Garud Nursing Home | Janugade Hospital | Jogalekar Netra Rugnalaya | Kolekar Hospital | Sanskar Netrarugnalaya and Phaco Center | Shinde Fracture - Orthopaedic Hospital,Maharashtra,Satara
"18.827, 74.373",18.8272478,74.3730083,15,"Shri Krishna Hospital | Shubham Hospital and Maternity Home | Ankur Hospital | Anmol Jeevan Hospital | Shrikrishna Hospital | Narwade Hospital | Bhakti Hospital - Sanaswadi,Pune | Dr. Konde Hospital. | Harde Hospital and Maternity Home | Jijamata Hospital",Maharashtra,Pune
"21.17, 72.831",21.1702401,72.8310607,15,"Centre For Sight, Surat | Sanjeevani Fracture andAccident Hospital | Care Hospitals | Ameera Polyclinic And Nursing Home Kosamba | Dhiraj Hospital | Shivam Orthopaedic Hospital | Keshvi Eye Hospital and Phaco Surgery Center | Arora Surgical | Ayushi Icu and Multispeciality Hospital | Hajee A M Lockhat and Dr A M Moolla Sarvajanik Hos",Gujarat,Surat | Ahmedabad | Tapi
"26.218, 78.183",26.2182871,78.1828308,15,"Ankur Bal Chikitsalaya | Joshi Hospital | Subhash Kakkad Hospital | Alok Nursing Home | Global Speciality Hospital | Gauri Hospital | Vatsalya Hoapital | Bansal Eye Hospital and Laser Surgry Center | Garg Nursing Home, | J.A Group Of Hospital",Madhya Pradesh,Gwalior
"28.342, 77.326",28.3421598,77.3255963,15,Shree Durga Nursing Home | Vikas Nursing Home | Zenith Hospital | B R Memorial Hospital | B. R Memorial Hospital | Ballabgarh Nursing Home | Bareja Hospital | Bhatia Nursing Home | Buddho Devi Memorial Hospital and Research Centre | Mahak Hospital,Haryana,Faridabad
"28.459, 77.027",28.4594965,77.0266383,15,Dharam Raj Hospital | Dr. Ajay S. Gupta | Kanshi Ram Medical Services | Manju Hospital | Narula Hospital | Rama Hospital Nursing Home / Rama Krishna Hospital | Shiromani Sai Heart and Trauma Centre | Centre For Sight | Gobind Hospital | Sai H0Spital and Trauma Centre,Haryana,Gurgaon | Mewat
"28.896, 76.607",28.8955152,76.606611,15,Jeevan Nursing Home / Jeewan Nursing Home / Jeewan Rekha Hospital | Yadav Hospital | Civil Hospital | Gaur Nursing Home | General Hospital | Ishwar Orthopaedic Hospital | Manu Hospital | P G I M S | Pt B.D. Sharma Post Graduate Institute Of Medical | Ravi Child Care Hospital,Haryana,Bhiwani | Rohtak
"9.982, 76.3",9.9816358,76.2998842,15,K P M Eye Hospital | Chaitanya Eye Hospital and Research Instt | Dhanya Mission Hospital Potta | Dr Kunhalus Nursing Home | Dr. D Souza Ent Clinic and Nursing Home | Lisia Medical Institutions | Komaranchath Urology Centre | Gouri Sankar Nursing Home | Jnm Lakshmi Hospital | Don Bosco Hospital,Kerala,Ernakulam
"11.874, 75.37",11.8744775,75.3703662,14,Sevana Hospital and Research Centre Pvt Ltd | Dhanalakshimi Hospital | Jyothis Eye Care | Koyili Hospital | Sredha Hospital | Chc Cheruthazam | Chc Karivelloor | Parassinikkadavu Ayurveda Medical College | WandC Hospital | St. Josephs Hospital,Kerala,Kannur
"18.459, 74.587",18.4592892,74.5873348,14,Baravkar Hospital | Mohan General Hospital - Daund | Om General Hospital and Matarnity Home | Parth Hospital | Thorat Hospital | Shinde Hospital | Shree Ganesh Hospital | Chandrika Hospital | Gaikwad Hospital | Lonkar Hospital,Maharashtra,Pune
"19.115, 72.873",19.1154908,72.8726952,14,Dr Punjabis Laboratory | Paramount General Hospital and Icu | Umang Maternity And Surgical Nursing Home -Andheri (E) | E N T Clinic and Deafness Center | Mangala Nursing Home | Patel Nursing Home  Andheri (E) | Saheli Clinic | Tripura Nursing Home | Sunita Hospital | Anand Childrens Nursing Home,Maharashtra,Mumbai
"19.287, 72.869",19.2871393,72.8688419,14,"Sushrut Maternity and Surgical Nursing Home | Al-Falah Health Care | Dr Dragos Life Line General andMaternity Hospital | Karuna Nursing Home | Life Care Hospital | New Healthcare Nursing Home | Prana Criti Care Clinic | Sai Aashirwad Hospital, Evershine Enclave | Sai Yash Hospital | Shah Lifeline Hospital and Heart Institute Pvt. Ltd. - Thane",Maharashtra,Thane
"28.149, 77.332",28.1487362,77.3320262,14,"Jeevan Dhara Hospital | Jindal Nursing Home | K.C. Hospital | Mool Chand Hospital | Mulchand Hospital | Navjeevan Hospital | Nidan Hospital | Om Spero Hospital, A Soalni Healthcare Pvt. Ltd. Group Hospital | Rahul Nursing Home. | Sushila Nursing Home",Haryana,Palwal
"32.722, 74.858",32.7217819,74.85765389999999,14,"Medicare Nursing Home | District Hospital Gandhi Nagar | Jammu Medicla College | Madaan Hospital And Research Centre | Sood Eye Centre | Trikuta E N T Nursing Clinic | Shs Memorial Nursingh Home | Ascoms Hospital | Chc R S Pura | Sub-District Hospital, Bishnah",Jammu and Kashmir,Jammu | Kathua
"34.126, 74.944",34.1255413,74.9442585,14,Bhanu Nursing Home and Eye Hospital | Bone and Joint Hospital | Government Hospital For Bone and Joint Surgery | Cd Hospital | Kidney Hospital / Kidneyline Healthcare | Tahira Khanams Hospital and Nursing Home | Jlnm Government Hospital | Lord`S Favour Nursing Home | Sheikh Ul Alam Hospital | The New City,Andhra Pradesh | Jammu and Kashmir | Karnataka,East Godavari | Budgam | Srinagar | Ballari
"10.528, 76.214",10.5276416,76.2144349,13,"Vinayaka Ayurvedic Nursing Home | Jubilee Mission Medical College Hospital, Thrissur | Elite Mission Hospital | Metropolitan Hospital | Trichur Metropolitan Healthcare Pvt. Ltd., | Mother Hospital (P) Ltd. | G.E.M. Hospital | Raji Nursing Home | Vijayasree Eye Hospital | Nethra Eye Care Center",Kerala,Thrissur
"10.787, 76.655",10.7867303,76.6547932,13,C.K.J. Clinic | Kerala Nursing Home | Sarada Nursing Home | The Palakkad Hospital and Research Centre | Trinity Eye Centre | Lakshmi Hospital | Palghat Poly Clinic | Dr T Madhavi Amma Medical Trust | Santhigiri Ayurveda Medical College and Hospital | Paalana Institute Of Medical Sciences,Kerala,Palakkad
"13.217, 79.1",13.217175999999998,79.1003289,13,Dr. Ramalakshmi Nursing Home | Dr. V. K. R. Nursing Home and Scan Centre | Sreelatha Modern Eye Hospital And Research Centre | Gupta Nursing Home | Leo Hospital | Balaji Institute Of Surgery Research And Rehabilit | Navya Netralaya Eye Hospital | Sri Suraksha Hospital | Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati | Maha Hospitals,Andhra Pradesh | Kerala,Chittoor | Thrissur
"15.828, 78.037",15.8281257,78.0372792,13,Dr.Bethune Nursing Home | K M Hospital | Vijaya Super Speciality Hospital | Adithya Test Tube Baby Centre | Amma Hospital | Kurnool Heart and Brain Centre | Modern Eye Hospital and Research Centre | Aayushman The Family Hospital | Padma Chandra Super Speciality Hospital | Deepak Tej Hospital,Andhra Pradesh,Kurnool | Prakasam | Hyderabad
"17.687, 83.218",17.6868159,83.2184815,13,Sraddha Hospital | T.Narayana Rao | C.S.R. Hospital | King George Hospital | Saryu Multicare Hospital | Shri Venkataramana Hospital | St. Joseph's Hospital | Padmasri Hospital    Vishakhapatnam | Care Hospitals | L V Prasad Eye Institute Vishakapatnam,Andhra Pradesh,Visakhapatnam
